name,description,price,stock,discount_percentage
Samsung Galaxy Tab 2 7.0 P3110,"",$41750.03,93,38
Honor X10 5G,"",$12488.67,62,8
alcatel One Touch S'Pop,"",$54753.52,55,28
Spice Mi-506 Stellar Mettle Icon,"",$46069.35,35,52
BLU Jenny TV,"",$13575.87,61,10
Orange Dallas,"",$12266.08,2,72
LG G Vista 2,"",$75340.78,31,88
Meizu Pro 6s,"",$59135.47,82,92
Panasonic T45,"",$60464.14,73,94
OnePlus 7T Pro 5G McLaren,"",$54858.03,8,30
Samsung Watch Phone,"",$13778.44,32,44
alcatel Pixi 3 (5.5),"",$25112.37,22,10
ZTE nubia Z11 Max,"",$14614.35,56,33
Philips D900,"",$32996.13,48,48
Sony Xperia E,"",$49456.43,99,52
alcatel 1B (2020),"",$3936.99,43,97
Samsung T469 Gravity 2,"",$73181.22,94,12
Xiaomi Redmi 9AT,"",$37082.67,99,22
Xiaomi Mi 8,"",$11523.59,21,45
Meizu X8,"",$55573.32,52,81
Micromax Canvas 4 A210,"",$37448.72,43,91
Asus Zenfone 4 Max ZC554KL,"",$61319.87,22,94
LG U310,"",$78119.13,33,83
Maxon MX-C160,"",$43335.54,15,59
Sony Xperia C670X,"",$25149.48,46,67
Samsung I405 Stratosphere,"",$18023.53,80,77
i-mobile 101,"",$29250.53,86,5
Sony Ericsson Xperia X10 mini,"",$73459.55,71,71
alcatel OT-602,"",$78577.83,74,94
Toshiba 705T,"",$75386.47,89,90
Huawei SnapTo,"",$41104.42,78,85
Eten glofiish M700,"",$40754.66,43,61
BenQ M220,"",$53724.66,61,15
Huawei C3200,"",$72351.87,27,50
XOLO Q900,"",$79155.91,34,42
Nokia Asha 300,"",$57215.19,89,2
XOLO A700s,"",$14684.34,75,48
Nokia 3110 classic,"",$25022.62,87,48
Sony Xperia Z5 Dual,"",$5129.39,74,34
Ericsson GS 18,"",$63725.47,50,35
Realme Watch S Pro,"",$19238.29,16,100
Oppo R1S,"",$15912.29,22,77
Celkon Campus Colt A401,"",$62114.35,44,55
Wiko Fever SE,"",$72545.77,26,42
Sony CMD Z1,"",$21024.13,90,32
Samsung Galaxy S21 5G,"",$23410.99,19,83
Sony Ericsson S003,"",$50338.30,86,87
LG Optimus F7,"",$8105.26,24,94
Honor 8A Pro,"",$15766.40,32,75
Samsung D870,"",$72839.85,96,35
Motorola V66,"",$7975.64,13,55
Nokia 5330 Mobile TV Edition,"",$58522.82,52,38
Huawei Ascend G6 4G,"",$51223.63,37,28
LG Vu 3 F300L,"",$23356.94,42,52
Sony Xperia go,"",$56723.05,72,20
Gionee S12,"",$11354.46,65,93
Gigabyte GSmart Saga S3,"",$83858.61,93,95
Sewon SRD-200,"",$43388.61,34,11
Allview P10 Max,"",$50699.01,48,66
Apple iPad Pro 12.9 (2015),"",$30918.20,95,26
Huawei U8300,"",$50343.34,90,32
Samsung C3630,"",$80746.06,37,15
Motorola Cliq 2,"",$3948.45,4,21
Huawei P smart Pro 2019,"",$55985.33,36,92
Sagem my810x,"",$92213.72,7,50
Infinix Hot 4 Pro,"",$26025.45,97,87
Oppo Reno4 5G,"",$12110.13,70,92
Oppo Mirror 3,"",$32278.64,56,8
alcatel OT-600,"",$57814.40,11,17
QMobile QTab X50,"",$50238.18,56,38
Nokia E70,"",$61446.29,12,80
Sony Ericsson K700,"",$76654.15,80,58
Motorola XT532,"",$23701.29,21,52
Sony CMD MZ5,"",$38526.26,89,56
Xiaomi Redmi 4A,"",$99374.51,88,25
Sharp Aquos R2,"",$94692.34,25,60
BlackBerry Motion,"",$31264.55,83,23
i-mate PDAL,"",$29708.56,32,15
Sony Xperia L4,"",$98052.48,75,35
HTC One (M8) dual sim,"",$53928.78,1,81
Energizer Hardcase H240S,"",$30145.55,27,71
QMobile Power3,"",$11902.79,88,85
Huawei Y635,"",$89333.15,59,47
Motorola VE66,"",$43055.80,66,19
Nokia 3410,"",$73664.17,91,75
QMobile Noir S2,"",$65574.08,3,56
alcatel OT-305,"",$92249.50,46,71
Samsung Galaxy V,"",$77435.11,78,27
Allview P5 Quad,"",$78459.21,66,61
Sony Xperia SL,"",$73702.47,94,90
Huawei MediaPad 7 Vogue,"",$49703.36,41,74
Tecno Camon CX Air,"",$14635.63,46,20
Samsung P500,"",$70855.15,49,6
Lenovo A316i,"",$77091.85,28,96
Huawei nova,"",$51498.38,96,69
Sony Ericsson W200,"",$27086.11,71,40
BLU Win JR LTE,"",$37365.48,50,48
Micromax Dual 5,"",$19736.65,48,64
LG GS500 Cookie Plus,"",$34433.47,56,66
Bird S788,"",$6932.53,18,95
vivo Y50,"",$64085.62,85,33
Samsung S730i,"",$97788.55,68,100
Spice M-5665 T2,"",$90172.66,35,1
LG KU2100,"",$42419.44,13,4
Gigabyte GSmart q60,"",$17553.77,63,77
vivo Y31s,"",$99260.55,29,59
Philips Xenium X530,"",$6630.46,93,6
Motorola Electrify M XT905,"",$3665.64,71,14
Pantech Q80,"",$96175.70,69,93
Prestigio MultiPad 8.0 HD,"",$71391.17,20,9
Samsung i637 Jack,"",$6802.66,19,48
Prestigio MultiPad 10.1 Ultimate 3G,"",$87659.93,85,75
Nokia 3410,"",$17401.35,19,85
verykool s5518Q Maverick,"",$31373.39,64,41
Mitsubishi M330,"",$16880.98,31,71
Philips W3568,"",$47797.13,20,26
Huawei Watch GT 2 Pro,"",$60764.45,82,95
Motorola C205,"",$44000.40,56,55
Honor Watch GS Pro,"",$86402.72,27,12
Toshiba Excite 7c AT7-B8,"",$82372.25,52,17
ZTE N290,"",$14652.97,50,11
Celkon C6,"",$2168.94,12,88
BLU Deejay Touch,"",$40677.16,58,97
O2 Ice,"",$6422.92,99,62
Ericsson R380,"",$94214.44,29,60
Coolpad Cool 6,"",$36413.06,36,78
Parla Minu P124,"",$12295.29,44,50
Palm Palm,"",$27874.06,67,1
ZTE Blade V2020 5G,"",$67542.12,15,31
Huawei Mate 40 Pro,"",$22811.67,90,37
Unnecto Primo 3G,"",$65895.66,50,72
Celkon C705,"",$66679.35,84,39
Asus PadFone mini 4G (Intel),"",$96179.63,75,4
Samsung F520,"",$91154.50,65,17
Haier I6,"",$69847.40,67,22
Samsung Galaxy Note Pro 12.2 3G,"",$93728.83,80,95
Palm Treo 270,"",$40167.06,13,44
HTC Radar,"",$10172.47,71,17
Xiaomi Mi Max,"",$82512.81,43,68
Motorola Moto X Play,"",$62465.90,44,74
Samsung A887 Solstice,"",$56907.26,51,36
Motorola RIZR Z10,"",$72846.48,76,1
Samsung P250,"",$37177.85,16,9
Lenovo P70,"",$48804.36,15,34
LG G3 S,"",$52559.73,78,1
HP iPAQ rw6818,"",$40630.47,90,94
Samsung Z107,"",$53195.87,76,63
LG Viper 4G LTE LS840,"",$43551.92,16,95
Huawei T156,"",$12531.76,53,8
Samsung I7500 Galaxy,"",$10777.04,65,53
Lenovo A630,"",$57539.19,81,52
Acer beTouch E101,"",$16441.45,100,22
Samsung Galaxy Win Pro G3812,"",$2702.52,60,14
T-Mobile Dash,"",$91659.08,59,98
XOLO Q520s,"",$95042.35,68,99
BlackBerry Curve 8520,"",$8103.34,86,7
Panasonic GD35,"",$25912.48,19,54
Yezz Chico 2 YZ201,"",$2033.82,90,29
Samsung Galaxy Mega 5.8 I9150,"",$53173.91,84,24
Vodafone 228,"",$67706.00,74,72
Wiko View4 Lite,"",$84081.92,96,18
Asus Zenfone 2 ZE550ML,"",$77945.15,17,16
Meizu Pro 7 Plus,"",$74796.79,21,58
Asus Transformer Pad Infinity 700,"",$29995.13,7,40
NEC e636,"",$60506.11,50,63
Sendo X2,"",$18658.42,98,46
Lava V5,"",$6949.16,47,23
Samsung D880 Duos,"",$15456.35,41,61
Xiaomi Mi 9 Pro 5G,"",$79770.06,58,28
Micromax A92,"",$91749.01,20,17
alcatel OT-S621,"",$65152.90,79,72
BLU Dash L5 LTE,"",$10806.17,39,96
Allview X3 Soul Pro,"",$18768.96,33,52
LG Q Stylo 4,"",$40380.76,32,63
Plum Sync 5.0,"",$48376.01,21,32
QMobile Noir A550,"",$3628.27,97,9
Sharp 923SH,"",$78411.19,89,21
HP iPAQ h6325,"",$35947.26,72,8
Huawei Y Max,"",$74684.71,88,26
BLU Studio Selfie LTE,"",$61326.03,42,1
XOLO Play 8X-1100,"",$69027.96,14,39
Huawei Ascend Mate7 Monarch,"",$44612.34,55,25
T-Mobile Sidekick 3,"",$1374.92,15,95
Spice M-5750,"",$56463.89,12,8
Motorola Moto 360 42mm (2nd gen),"",$99757.38,57,18
HTC Wildfire R70,"",$1298.78,86,27
Huawei Mate 9 Porsche Design,"",$3773.84,84,42
Philips 892,"",$32330.20,32,39
Huawei Fit,"",$33154.79,85,76
alcatel Idol 3 (4.7),"",$86599.57,3,75
vivo Watch,"",$74034.53,63,26
Unnecto Shell,"",$68394.87,31,86
Vodafone 332,"",$18822.18,14,84
LG L600v,"",$55531.23,13,91
Energizer Energy 240,"",$36499.48,14,78
Allview X4 Soul Lite,"",$26055.30,47,49
Samsung I9300 Galaxy S III,"",$74597.46,66,81
BenQ-Siemens SL91,"",$27148.38,63,47
HTC EVO 3D CDMA,"",$56417.70,52,23
verykool s5525 Maverick III,"",$24627.75,30,26
alcatel Hero 2,"",$81311.83,9,87
ZTE Maven,"",$19641.00,87,83
Lenovo Yoga Tablet 2 8.0 ,"",$12461.98,68,90
Nokia 6111,"",$28458.66,11,76
Motorola C123,"",$41147.27,79,60
Motorola ROKR E8,"",$76898.52,75,95
LG V60 ThinQ 5G,"",$7376.52,34,86
Ulefone Note 8P,"",$92333.42,29,84
Samsung Galaxy M31 Prime,"",$73388.89,68,91
Philips W9588,"",$8015.92,79,68
Icemobile Viento II,"",$7292.90,50,80
alcatel Mandarina Duck,"",$5264.94,45,14
Posh Titan Max HD E550,"",$10052.47,71,35
Samsung Dart T499,"",$11968.99,62,22
Nokia 6820,"",$70926.69,25,75
verykool s732,"",$53615.39,16,88
Apple iPad 2 CDMA,"",$34572.25,93,22
Lenovo Tab 4 8,"",$49718.33,44,45
Energizer Energy S500E,"",$6658.71,87,69
Acer Liquid Z410,"",$91436.33,14,71
BLU G50 Plus,"",$53602.14,7,33
Celkon 2GB Xpress,"",$93853.95,84,76
Samsung I9300I Galaxy S3 Neo,"",$29694.49,60,27
LG LG-600,"",$85316.82,27,48
LG Spectrum II 4G VS930,"",$18228.91,83,95
Micromax A55,"",$158.25,81,60
Samsung E2152,"",$13034.48,64,82
Samsung Gravity SMART,"",$8461.04,18,76
Dell Venue Pro,"",$75503.10,93,57
Nokia Lumia 530,"",$91203.18,13,77
Samsung Google Nexus S I9023,"",$85243.47,76,51
Neonode N1m,"",$76397.04,52,87
Haier Z300,"",$22261.85,32,57
Sendo M550,"",$36563.97,89,69
Haier Z7000,"",$4762.21,41,92
Nokia N950,"",$95046.73,39,18
BLU Energy X,"",$43967.73,40,51
Unnecto Primo 3G,"",$7189.58,8,46
Celkon S1,"",$32585.98,70,16
Philips F610,"",$23997.11,65,23
Huawei P40 Pro+,"",$31137.51,89,19
Honor 20 Pro,"",$50365.34,57,69
HTC Touch 3G,"",$93510.96,49,88
Samsung B320,"",$68549.29,26,8
Sony Ericsson Vivaz pro,"",$7022.13,81,85
Motorola Moto Z4,"",$56329.78,97,43
Motorola Moto X Play Dual SIM,"",$31808.04,33,66
Micromax Canvas Fire 5 Q386,"",$17276.51,9,64
Philips W930,"",$16868.73,9,61
ZTE nubia Play,"",$98709.30,22,22
Huawei Ascend G525,"",$36259.33,34,35
BLU Vivo 6,"",$80462.50,78,65
alcatel OT-C750,"",$64113.97,75,93
Micromax X396,"",$66759.72,33,41
Lava Flair E2,"",$83121.63,94,44
vivo V15,"",$1881.59,30,84
Nokia Lumia 830,"",$41385.91,35,64
Sony Ericsson K510,"",$25840.29,58,33
Huawei Enjoy 10 Plus,"",$32568.02,10,60
Allview P7 Pro,"",$48865.31,16,22
Motorola V50,"",$33447.61,32,9
Asus Zenfone C ZC451CG,"",$77491.39,44,88
Motorola Moto 360 (1st gen),"",$62578.38,67,87
Oppo R601,"",$34246.83,13,10
Yezz Andy 3.5EI,"",$21935.08,66,61
Maxwest Nitro 5,"",$17680.47,51,28
alcatel OT-908F,"",$12965.41,49,50
HP iPAQ rw6818,"",$32344.62,43,73
vivo X50,"",$58959.72,15,66
Samsung C3630,"",$33152.58,31,2
BLU Studio 5.0 LTE,"",$31415.62,6,47
ZTE Warp 4G,"",$17996.97,55,62
Spice S-5010,"",$16415.23,78,71
LG U310,"",$68971.18,78,54
i-mobile 315,"",$28420.62,72,15
Sony Ericsson K700,"",$53196.72,80,18
alcatel Shine Lite,"",$59898.95,54,63
Wiko Y60,"",$92204.92,77,35
Oppo F1 Plus,"",$88454.07,60,55
Samsung Galaxy Tab 4 10.1,"",$87341.84,76,88
alcatel Pop 2 (5),"",$70294.50,46,34
Huawei U9000 IDEOS X6,"",$84555.68,15,95
Icemobile Prime 5.0 Plus,"",$94585.98,80,26
Oppo R9s Plus,"",$51105.68,24,26
Blackview S6,"",$44341.00,24,14
alcatel OT-203,"",$40024.23,95,41
Yezz Andy 5E5,"",$67663.00,65,87
LG Cookie WiFi T310i,"",$26924.66,50,88
Spice QT-58,"",$75451.94,7,24
Asus Zenfone 3 Max ZC520TL,"",$16058.87,40,15
Nokia C5-06,"",$94766.29,40,68
Samsung I8530 Galaxy Beam,"",$44900.13,48,30
Celkon C509,"",$62724.15,63,96
BlackBerry 8707v,"",$9356.46,70,28
Plum Optimax 13,"",$86291.91,92,3
Samsung Galaxy Pocket S5300,"",$35322.16,90,3
Panasonic P77,"",$49913.29,95,18
Philips Xenium,"",$39318.10,85,60
Micromax M2,"",$47316.91,15,82
Sony Xperia L1,"",$30001.27,60,89
BenQ T51,"",$49961.10,66,13
Samsung Galaxy J1 Ace,"",$97943.47,85,77
vivo Y93s,"",$5268.12,91,67
Motorola One Power (P30 Note),"",$12726.80,29,27
Nokia 2710 Navigation Edition,"",$46156.82,21,85
Casio G'zOne Brigade,"",$91677.79,63,40
Motorola Moto G8 Power Lite,"",$42153.55,13,37
Sony Xperia 1,"",$72402.92,85,53
Gigabyte GSmart G1315 Skate,"",$43401.44,81,24
Prestigio MultiPad 7.0 HD +,"",$51938.36,15,42
Micromax In 1b,"",$11926.73,16,54
Apple iPhone 12 Pro Max,"",$78144.81,20,99
verykool s5029 Bolt Pro,"",$25437.36,68,42
Palm Pre,"",$62717.44,30,20
Sony Ericsson S312,"",$78457.57,35,74
Siemens SX66,"",$58772.17,8,49
HP Elite x3,"",$98942.60,87,6
alcatel OT-292,"",$10168.02,45,5
BLU Vivo 4.8 HD,"",$62618.36,98,86
Motorola One Hyper,"",$90753.68,56,45
Motorola Admiral XT603,"",$83164.60,41,48
Parla Sonic 3.5,"",$41355.83,96,45
XOLO Q2000,"",$56348.45,26,3
Celkon A97,"",$95007.49,66,18
XOLO A500S,"",$54327.23,54,90
Motorola Moto G8 Power Lite,"",$40503.27,81,58
Sony Xperia ion LTE,"",$31367.03,10,49
Mitsubishi Trium Geo,"",$9058.29,82,88
Huawei U1000,"",$31577.25,33,7
BlackBerry Curve 8980,"",$25525.79,9,23
XOLO Q2000L,"",$74187.13,22,54
alcatel Idol 4s Windows,"",$79977.42,30,88
Samsung X910,"",$84196.41,60,47
Haier L8,"",$34411.12,77,16
Maxwest Astro 5,"",$25196.49,41,87
Samsung Galaxy Star S5280,"",$53450.74,100,65
Honor 7,"",$60894.50,83,22
Nokia 2690,"",$74866.54,92,91
Realme C1 (2019),"",$86997.34,67,25
Xiaomi Redmi Note 6 Pro,"",$71441.65,24,84
Samsung E210,"",$57798.52,9,73
Sagem my300X,"",$73150.83,59,4
Coolpad Note 3,"",$40445.03,23,1
Apple Watch Series 2 Aluminum 42mm,"",$78568.02,79,3
LG GM650s,"",$63911.40,85,39
ZTE Grand X4,"",$90364.64,69,42
Samsung Galaxy A3 (2016),"",$15646.85,42,25
Panasonic Eluga I7,"",$11902.39,71,49
Sony Xperia XZ2 Premium,"",$21181.73,98,76
Samsung Galaxy Note Edge,"",$94991.53,75,20
Sagem SG 321i,"",$18399.20,10,79
BLU C5,"",$53090.64,6,1
Asus PadFone Infinity 2,"",$82378.90,34,32
Huawei MediaPad 7 Vogue,"",$35283.70,7,71
LG Optimus Vu II F200,"",$58238.69,10,77
Samsung Serenata,"",$56265.97,8,86
Micromax Ninja A54,"",$24935.91,45,23
Siemens S55,"",$62939.18,59,70
LG KU250,"",$61788.33,77,45
Spice Smart Flo 503 (Mi-503),"",$87359.19,60,43
verykool Kolorpad LTE TL8010,"",$32488.79,38,97
Samsung Galaxy Tab A 10.1 (2016),"",$25664.68,25,78
Nokia 6822,"",$243.57,4,25
Celkon C64,"",$12586.11,20,9
Realme X50 5G,"",$31965.75,3,45
alcatel OT-E805,"",$1791.08,8,40
NIU GO 20,"",$93606.94,95,21
LG G Vista 2,"",$30923.93,80,62
Motorola Electrify 2 XT881,"",$21867.59,95,51
Motorola Moto G,"",$90624.56,32,58
Spice M-6868N FLO ME,"",$49439.41,72,19
Gigabyte GSmart G1342 Houston,"",$42585.31,21,25
alcatel U5,"",$2022.00,17,17
Lava Iris Win1,"",$17062.22,48,37
Samsung I5500 Galaxy 5,"",$60806.43,4,31
Samsung Galaxy Note5,"",$28272.91,26,8
ZTE Blade V7 Max,"",$6412.67,17,39
Micromax Canvas Hue,"",$42406.58,5,58
alcatel OT-E157,"",$94951.10,18,61
Huawei Y7 Prime,"",$48605.24,83,5
Micromax Superfone Punk A44,"",$39596.11,63,64
Panasonic Eluga Mark,"",$61293.53,28,53
Asus Zenpad 3S 10 Z500M,"",$23586.10,23,34
Samsung I9100G Galaxy S II,"",$48378.33,27,84
XOLO A500S IPS,"",$94271.62,7,71
Micromax X102,"",$26636.01,23,30
Micromax Bharat 2+,"",$27373.02,51,79
LG U300,"",$61971.51,61,100
Motorola V295,"",$69200.61,82,3
Coolpad Mega 3,"",$59664.13,75,77
Samsung M8910 Pixon12,"",$48750.44,43,22
Sagem MY C-1,"",$82258.82,86,7
Emporia RL1,"",$39900.24,61,89
Plum Buzz,"",$64647.51,90,56
NIU Niutek N109,"",$41289.85,26,91
Nokia 1280,"",$58766.57,89,14
BenQ-Siemens E52,"",$99665.65,35,2
Maxon MX-7600,"",$481.76,93,94
Lava 3G 402+,"",$25811.78,46,11
ZTE Axon Max,"",$58951.50,60,53
Oppo Neo,"",$90262.59,46,20
Plum Coach Pro,"",$57765.55,31,5
Samsung C3780,"",$82372.00,19,25
Motorola V195,"",$57896.73,84,12
Sharp Aquos R2,"",$37358.46,54,94
LG F2100,"",$73983.82,69,39
Tel.Me. T909c,"",$46023.20,37,28
LG G5200,"",$28123.64,27,89
vivo iQOO 3 5G,"",$15758.37,51,2
Lava X11,"",$4465.18,89,68
BLU Grand X LTE,"",$59930.69,18,66
Allview A6 Quad,"",$46597.18,22,32
Celkon C60,"",$47114.14,52,90
BLU Studio X Plus,"",$24513.97,55,100
Huawei MatePad Pro 10.8 (2019),"",$82179.07,73,2
HTC One (M8) CDMA,"",$32722.94,88,23
vivo Z5,"",$82493.75,64,60
Samsung Xcover 550,"",$26191.81,60,28
Sony Xperia L2,"",$70405.24,34,12
Samsung E1225 Dual Sim Shift,"",$57040.07,69,3
QMobile Noir Z4,"",$35845.33,29,73
BLU Dash 4.5 (2016),"",$96550.62,90,19
Pantech PG-1200,"",$60477.98,88,21
Samsung F700,"",$12284.46,71,70
HTC EVO View 4G,"",$12737.58,70,84
Posh Icon S510,"",$89329.51,6,4
Oppo Find X2 Neo,"",$91160.76,99,37
BenQ P50,"",$28444.21,5,22
Bird S669,"",$88717.88,16,96
Allview P4 Duo,"",$76077.75,7,25
Haier G51,"",$32915.86,80,80
Sharp Aquos Xx,"",$73741.53,91,5
Sharp 880SH,"",$35823.58,81,12
Philips 859,"",$35185.04,25,54
alcatel Idol 5,"",$28333.01,5,38
verykool s700,"",$3693.10,17,94
